ID,8,0,Republican,,B
ID,8,0,Republican,,B
NV,6,1,Democratic,,C+
NY,11,0,Democratic,,A
NY,8,1,Democratic,,B
OH,10,1,Republican,,A-
AZ,10,1,Republican,,A-
IA,6,0,Democratic,,C+
IL,2,1,Republican,,D
WI,9,1,Republican,,B+
AZ,10,1,Republican,,A-
IL,2,1,Republican,,D
WI,9,1,Democratic,,B+
NY,5,1,Republican,,C
WI,6,1,Republican,,C+
NC,5,1,Republican,,C
GA,6,1,Republican,,C+
NY,5,0,Democratic,,C
WI,6,1,Democratic,,C+
CO,6,1,Republican,,C+
CT,9,1,Republican,,B+
MD,9,1,Democratic,,B+
CT,9,1,Democratic,,B+
IL,4,1,Republican,,C-
MD,9,1,Democratic,,B+
CA,12,1,Democratic,,A+
FL,9,1,Republican,,B+
NH,4,1,Democratic,,C-
CA,9,1,Democratic,,B+
IN,1,0,Democratic,,D-
FL,9,1,Democratic,,B+
HI,9,0,Democratic,,B+
OH,5,1,Republican,,C
HI,9,1,Democratic,,B+
KY,4,0,Republican,,C-
ND,4,1,Democratic,,C-
WA,5,1,Democratic,,C
KY,4,0,Republican,,C-
OH,5,1,Republican,,C
OK,4,1,Republican,,C-
CA,9,1,Democratic,,B+
CA,9,1,Democratic,,B+
IL,9,1,Republican,,B+
CA,9,1,Democratic,,B+
IL,9,1,Republican,,B+
AZ,3,1,Republican,,D+
CA,3,1,Democratic,,D+
CO,3,0,Republican,,D+
FL,3,1,Republican,,D+
GA,3,0,Democratic,,D+
IA,6,0,Democratic,,C+
IL,3,1,Republican,,D+
IL,6,1,Republican,,C+
MD,10,1,Democratic,,A-
MD,3,0,Democratic,,D+
NY,3,1,Republican,,D+
OH,3,1,Republican,,D+
PA,3,1,Republican,,D+
UT,2,0,Republican,,D
AZ,3,1,Republican,,D+
CA,3,1,Democratic,,D+
CO,3,1,Republican,,D+
FL,3,1,Democratic,,D+
GA,3,1,Republican,,D+
IL,3,1,Republican,,D+
IL,4,1,Republican,,C-
IL,6,1,Republican,,C+
IN,3,1,Democratic,,D+
MD,3,1,Democratic,,D+
NC,3,1,Democratic,,D+
NY,3,0,Democratic,,D+
OH,3,1,Republican,,D+
PA,3,1,Republican,,D+
SD,5,1,Democratic,,C
WA,3,1,Democratic,,D+
AL,9,1,Democratic,,B+
IN,6,0,Democratic,,C+
KS,11,1,Republican,,A
CO,12,1,Republican,,A+
NY,11,1,Democratic,,A
NY,5,0,Democratic,,C
AL,4,1,Democratic,,C-
CO,12,1,Republican,,A+
FL,5,1,Republican,,C
FL,4,1,Republican,,C-
HI,7,0,Democratic,,B-
HI,7,1,Democratic,,B-
FL,8,1,Democratic,,B
FL,4,1,Democratic,,C-
WI,6,1,Democratic,,C+
NY,8,1,Republican,,B
NY,9,1,Republican,,B+
WI,9,1,Republican,,B+
KY,7,0,Republican,,B-
NY,8,0,Democratic,,B
NY,9,1,Democratic,,B+
WI,9,0,Democratic,,B+
AR,9,1,Republican,,B+
FL,11,1,Republican,,A
MD,6,1,Democratic,,C+
NY,5,1,Republican,,C
OH,10,1,Republican,,A-
AR,9,1,Democratic,,B+
IN,1,0,Democratic,,D-
UT,5,1,Republican,,C
AR,9,1,Democratic,,B+
OH,10,1,Republican,,A-
AL,9,1,Democratic,,B+
AL,9,1,Democratic,,B+
CA,12,1,Democratic,,A+
IL,9,1,Republican,,B+
NY,5,1,Republican,,C
OH,6,1,Republican,,C+
PA,1,1,Republican,,D-
CA,5,1,Democratic,,C
CA,5,1,Republican,,C
CO,5,0,Democratic,,C
CT,9,1,Democratic,,B+
NC,11,1,Democratic,,A
OH,5,1,Democratic,,C
PA,5,0,Democratic,,C
WA,5,0,Democratic,,C
WI,5,1,Republican,,C
AL,9,1,Republican,,B+
CA,12,1,Democratic,,A+
CO,12,1,Republican,,A+
IL,9,1,Republican,,B+
NY,5,1,Democratic,,C
PA,1,1,Republican,,D-
FL,8,1,Republican,,B
GA,2,0,Democratic,,D
IA,9,0,Democratic,,B+
IA,6,0,Democratic,,C+
NV,9,1,Republican,,B+
OH,9,1,Republican,,B+
OH,10,1,Republican,,A-
PA,9,1,Republican,,B+
NC,11,1,Democratic,,A
NH,8,1,Republican,,B
NV,9,1,Democratic,,B+
GA,2,1,Republican,,D
IA,9,1,Republican,,B+
IN,9,1,Democratic,,B+
MO,11,1,Republican,,A
NV,9,1,Democratic,,B+
OH,9,1,Republican,,B+
OH,10,1,Republican,,A-
PA,9,1,Republican,,B+
CA,9,1,Democratic,,B+
CA,9,1,Democratic,,B+
CO,9,1,Republican,,B+
CT,9,1,Republican,,B+
FL,9,1,Republican,,B+
GA,9,0,Democratic,,B+
IL,8,1,Republican,,B
MD,9,1,Democratic,,B+
NY,9,1,Republican,,B+
NY,9,1,Republican,,B+
OH,5,1,Republican,,C
SC,9,0,Democratic,,B+
CA,9,1,Democratic,,B+
CO,9,1,Republican,,B+
CT,9,1,Democratic,,B+
FL,9,1,Democratic,,B+
GA,9,1,Republican,,B+
IL,8,1,Republican,,B
KY,9,0,Republican,,B+
NC,9,0,Democratic,,B+
NY,9,1,Democratic,,B+
NY,9,1,Democratic,,B+
OH,5,1,Republican,,C
SC,9,1,Democratic,,B+
WA,9,1,Democratic,,B+
AL,9,1,Democratic,,B+
CO,12,1,Republican,,A+
KS,11,1,Republican,,A
NY,11,1,Republican,,A
KS,11,1,Republican,,A
NY,11,1,Democratic,,A
SC,6,0,Democratic,,C+
HI,9,0,Democratic,,B+
IA,12,0,Democratic,,A+
IL,5,1,Republican,,C
NY,9,1,Republican,,B+
IL,5,0,Republican,,C
MO,5,1,Republican,,C
NY,9,1,Democratic,,B+
NY,5,1,Democratic,,C
AZ,3,1,Republican,,D+
CA,3,1,Democratic,,D+
CT,9,1,Republican,,B+
FL,3,1,Republican,,D+
GA,3,0,Democratic,,D+
IL,3,1,Republican,,D+
NY,3,1,Republican,,D+
OH,3,1,Republican,,D+
PA,3,1,Republican,,D+
AZ,3,1,Republican,,D+
CA,3,1,Democratic,,D+
CT,9,1,Democratic,,B+
FL,3,1,Democratic,,D+
GA,3,1,Republican,,D+
IL,3,1,Republican,,D+
IN,3,1,Democratic,,D+
MO,3,1,Republican,,D+
NC,3,1,Democratic,,D+
NY,3,1,Democratic,,D+
OH,3,1,Republican,,D+
PA,3,1,Republican,,D+
WA,3,1,Democratic,,D+
OH,6,1,Republican,,C+
NY,5,0,Democratic,,C
CA,11,1,Democratic,,A
OR,11,0,Democratic,,A
PA,11,0,Republican,,A
CA,11,1,Democratic,,A
KY,11,1,Republican,,A
NC,11,1,Democratic,,A
WA,6,0,Democratic,,C+
FL,5,1,Republican,,C
IL,6,1,Democratic,,C+
PA,6,0,Democratic,,C+
FL,5,0,Democratic,,C
PA,6,1,Republican,,C+
MO,6,1,Republican,,C+
AL,9,1,Republican,,B+
PA,5,0,Democratic,,C
PA,5,1,Republican,,C
VT,9,1,Democratic,,B+
WA,11,1,Democratic,,A
AL,6,1,Republican,,C+
LA,5,1,Republican,,C
LA,4,1,Republican,,C-
OH,9,1,Republican,,B+
VT,9,1,Democratic,,B+
WA,11,1,Democratic,,A
NY,5,0,Democratic,,C
OH,9,1,Republican,,B+
VT,9,1,Republican,,B+
WA,11,0,Democratic,,A
CA,4,0,Democratic,,C-
FL,8,1,Republican,,B
WI,6,0,Democratic,,C+
FL,8,1,Democratic,,B
WI,6,1,Democratic,,C+
ND,5,1,Republican,,C
FL,9,0,Republican,,B+
WA,11,1,Democratic,,A
WA,11,1,Democratic,,A
WA,11,1,Republican,,A
AZ,5,1,Republican,,C
AZ,5,1,Republican,,C
CA,9,1,Democratic,,B+
CA,9,1,Democratic,,B+
ID,5,1,Republican,,C
KY,5,1,Republican,,C
LA,9,1,Republican,,B+
LA,4,1,Republican,,C-
MD,11,1,Democratic,,A
ND,5,1,Republican,,C
OR,5,0,Democratic,,C
PA,5,1,Democratic,,C
WI,9,1,Democratic,,B+
CA,9,1,Democratic,,B+
ND,5,1,Democratic,,C
NH,5,1,Democratic,,C
FL,11,1,Republican,,A
OH,11,1,Republican,,A
PA,5,1,Republican,,C
FL,4,0,Republican,,C-
GA,5,1,Republican,,C
HI,7,1,Democratic,,B-
IL,9,1,Democratic,,B+
NH,5,1,Republican,,C
NY,5,1,Democratic,,C
OH,10,1,Republican,,A-
OR,4,0,Democratic,,C-
PA,4,1,Democratic,,C-
PA,6,0,Democratic,,C+
